Run,Day,Interval,Success
1,Day_1,1,1
1,Day_1,2,1
1,Day_1,3,1
1,Day_1,4,1
1,Day_1,5,1
1,Day_1,6,0
2,Day_1,1,1
2,Day_1,2,1
2,Day_1,3,1
2,Day_1,4,1
2,Day_1,5,1
2,Day_1,6,0
3,Day_1,1,1
3,Day_1,2,1
3,Day_1,3,1
3,Day_1,4,1
3,Day_1,5,1
3,Day_1,6,0
4,Day_1,1,1
4,Day_1,2,1
4,Day_1,3,1
4,Day_1,4,1
4,Day_1,5,0
5,Day_1,1,1
5,Day_1,2,1
5,Day_1,3,1
5,Day_1,4,1
5,Day_1,5,0
6,Day_1,1,1
6,Day_1,2,1
6,Day_1,3,1
6,Day_1,4,1
6,Day_1,5,0
7,Day_1,1,1
7,Day_1,2,1
7,Day_1,3,1
7,Day_1,4,1
7,Day_1,5,0
8,Day_1,1,1
8,Day_1,2,1
8,Day_1,3,1
8,Day_1,4,0
9,Day_1,1,1
9,Day_1,2,1
9,Day_1,3,1
9,Day_1,4,0
10,Day_1,1,1
10,Day_1,2,1
10,Day_1,3,1
10,Day_1,4,0
11,Day_1,1,1
11,Day_1,2,1
11,Day_1,3,1
11,Day_1,4,0
12,Day_1,1,1
12,Day_1,2,1
12,Day_1,3,1
12,Day_1,4,0
13,Day_1,1,1
13,Day_1,2,1
13,Day_1,3,1
13,Day_1,4,0
14,Day_1,1,1
14,Day_1,2,1
14,Day_1,3,1
14,Day_1,4,0
15,Day_1,1,1
15,Day_1,2,1
15,Day_1,3,1
15,Day_1,4,0
16,Day_1,1,1
16,Day_1,2,1
16,Day_1,3,1
16,Day_1,4,0
17,Day_1,1,1
17,Day_1,2,1
17,Day_1,3,1
17,Day_1,4,0
18,Day_1,1,1
18,Day_1,2,1
18,Day_1,3,1
18,Day_1,4,0
19,Day_1,1,1
19,Day_1,2,1
19,Day_1,3,1
19,Day_1,4,0
20,Day_1,1,1
20,Day_1,2,1
20,Day_1,3,1
20,Day_1,4,0
21,Day_1,1,1
21,Day_1,2,1
21,Day_1,3,1
21,Day_1,4,0
22,Day_1,1,1
22,Day_1,2,1
22,Day_1,3,1
22,Day_1,4,0
23,Day_1,1,1
23,Day_1,2,1
23,Day_1,3,1
23,Day_1,4,0
24,Day_1,1,1
24,Day_1,2,1
24,Day_1,3,1
24,Day_1,4,0
25,Day_1,1,1
25,Day_1,2,1
25,Day_1,3,1
25,Day_1,4,0
26,Day_1,1,1
26,Day_1,2,1
26,Day_1,3,1
26,Day_1,4,0
27,Day_1,1,1
27,Day_1,2,1
27,Day_1,3,1
27,Day_1,4,0
28,Day_1,1,1
28,Day_1,2,1
28,Day_1,3,1
28,Day_1,4,0
29,Day_1,1,1
29,Day_1,2,1
29,Day_1,3,0
30,Day_1,1,1
30,Day_1,2,1
30,Day_1,3,0
31,Day_1,1,1
31,Day_1,2,1
31,Day_1,3,0
32,Day_1,1,1
32,Day_1,2,1
32,Day_1,3,0
33,Day_1,1,1
33,Day_1,2,1
33,Day_1,3,0
34,Day_1,1,1
34,Day_1,2,1
34,Day_1,3,0
35,Day_1,1,1
35,Day_1,2,1
35,Day_1,3,0
36,Day_1,1,1
36,Day_1,2,0
37,Day_1,1,1
37,Day_1,2,0
38,Day_1,1,1
38,Day_1,2,0
39,Day_1,1,1
39,Day_1,2,0
40,Day_1,1,1
40,Day_1,2,0
41,Day_1,1,1
41,Day_1,2,0
42,Day_1,1,1
42,Day_1,2,0
43,Day_1,1,1
43,Day_1,2,0
44,Day_1,1,1
44,Day_1,2,0
45,Day_1,1,1
45,Day_1,2,0
46,Day_1,1,1
46,Day_1,2,0
47,Day_1,1,1
47,Day_1,2,0
48,Day_1,1,1
48,Day_1,2,0
49,Day_1,1,1
49,Day_1,2,0
50,Day_1,1,0
51,Day_1,1,0
52,Day_1,1,0
53,Day_1,1,0
54,Day_1,1,0
55,Day_1,1,0
56,Day_1,1,0
57,Day_1,1,0
58,Day_1,1,0
59,Day_1,1,0
60,Day_1,1,0
61,Day_1,1,0
62,Day_1,1,0
63,Day_1,1,0
64,Day_1,1,0
65,Day_1,1,0
66,Day_1,1,0
67,Day_1,1,0
68,Day_1,1,0
69,Day_1,1,0
70,Day_1,1,0
71,Day_1,1,0
72,Day_1,1,0
73,Day_1,1,0
74,Day_1,1,0
75,Day_1,1,0
76,Day_1,1,0
77,Day_1,1,0
78,Day_1,1,0
79,Day_1,1,0
80,Day_1,1,0
81,Day_1,1,0
82,Day_1,1,0
83,Day_1,1,0
84,Day_2,1,1
84,Day_2,2,1
84,Day_2,3,1
84,Day_2,4,0
85,Day_2,1,1
85,Day_2,2,1
85,Day_2,3,1
85,Day_2,4,0
86,Day_2,1,1
86,Day_2,2,1
86,Day_2,3,1
86,Day_2,4,0
87,Day_2,1,1
87,Day_2,2,1
87,Day_2,3,1
87,Day_2,4,0
88,Day_2,1,1
88,Day_2,2,1
88,Day_2,3,1
88,Day_2,4,0
89,Day_2,1,1
89,Day_2,2,1
89,Day_2,3,1
89,Day_2,4,0
90,Day_2,1,1
90,Day_2,2,1
