"DayNum","Interval","success_rate","n_attempts"
1,1,0.590361445783133,83
1,2,0.714285714285714,49
1,3,0.8,35
1,4,0.25,28
1,5,0.428571428571429,7
1,6,0,3
2,1,0.656565656565657,99
2,2,0.507692307692308,65
2,3,0.757575757575758,33
2,4,0,25
3,1,0.578947368421053,114
3,2,0.484848484848485,66
3,3,0.71875,32
3,4,0.130434782608696,23
3,5,0.333333333333333,3
3,6,0,1
4,1,0.58974358974359,78
4,2,0.760869565217391,46
4,3,0.885714285714286,35
4,4,0.0645161290322581,31
4,5,0.5,2
4,6,0,1
5,1,0.582781456953642,151
5,2,0.715909090909091,88
5,3,0.714285714285714,63
5,4,0.177777777777778,45
5,5,0.25,8
5,6,0.5,2
5,7,1,1
5,8,0,1
6,1,0.556962025316456,79
6,2,0.636363636363636,44
6,3,0.892857142857143,28
6,4,0.04,25
6,5,1,1
6,6,1,1
6,7,1,1
6,8,0,1
7,1,0.666666666666667,87
7,2,0.758620689655172,58
7,3,0.818181818181818,44
7,4,0.111111111111111,36
7,5,0.25,4
7,6,0,1
8,1,0.605504587155963,109
8,2,0.833333333333333,66
8,3,0.872727272727273,55
8,4,0.125,48
8,5,0.833333333333333,6
8,6,0,5
9,1,0.6,100
9,2,0.716666666666667,60
9,3,0.837209302325581,43
9,4,0.166666666666667,36
9,5,0.666666666666667,6
9,6,0.25,4
9,7,0,1
10,1,0.571428571428571,84
10,2,0.729166666666667,48
10,3,0.8,35
10,4,0.142857142857143,28
10,5,0.5,4
10,6,1,2
10,7,1,2
10,8,0,2
11,1,0.627450980392157,153
11,2,0.8125,96
11,3,0.807692307692308,78
11,4,0.126984126984127,63
11,5,0.375,8
11,6,0.333333333333333,3
11,7,1,1
11,8,0,1
12,1,0.608695652173913,92
12,2,0.821428571428571,56
12,3,0.847826086956522,46
12,4,0.102564102564103,39
12,5,0.25,4
12,6,1,1
12,7,1,1
12,8,0,1
13,1,0.607843137254902,51
13,2,0.774193548387097,31
13,3,0.833333333333333,24
13,4,0.25,20
13,5,0.4,5
13,6,0.5,2
13,7,1,1
13,8,0,1
14,1,0.767123287671233,73
14,2,0.785714285714286,56
14,3,0.795454545454545,44
14,4,0.142857142857143,35
14,5,0.8,5
14,6,0.75,4
14,7,0.666666666666667,3
14,8,0.5,2
15,1,0.698630136986301,73
15,2,0.764705882352941,51
15,3,0.743589743589744,39
15,4,0.241379310344828,29
15,5,0.428571428571429,7
15,6,0.666666666666667,3
15,7,1,2
15,8,1,2
16,1,0.671052631578947,76
16,2,0.92156862745098,51
16,3,0.787234042553191,47
16,4,0.243243243243243,37
16,5,0.555555555555556,9
16,6,0,5
17,1,0.71875,32
17,2,0.826086956521739,23
17,3,0.842105263157895,19
17,4,0.25,16
17,5,0.25,4
17,6,1,1
17,7,1,1
17,8,1,1
18,1,0.661538461538461,65
18,2,0.883720930232558,43
18,3,0.68421052631579,38
18,4,0.153846153846154,26
18,5,0.5,4
18,6,0.5,2
18,7,1,1
18,8,0,1
19,1,0.727272727272727,66
19,2,0.791666666666667,48
19,3,0.894736842105263,38
19,4,0.294117647058824,34
19,5,0.3,10
19,6,0.333333333333333,3
19,7,1,1
19,8,0,1
20,1,0.69047619047619,42
20,2,0.689655172413793,29
20,3,0.9,20
20,4,0.222222222222222,18
20,5,0,4
21,1,0.72093023255814,43
21,2,0.612903225806452,31
21,3,0,19
