Date,Id,Players,Time,Seconds,Link
2002-06-25,oy2x1kwm,Aaron Collins,05m 25s,325,https://www.speedrun.com/smb1/runs/oy2x1kwm
2002-07-01,zqe9pq5z,Mike Morrow,05m 24s,324,https://www.speedrun.com/smb1/runs/zqe9pq5z
2003-07-30,7z0r1x8z,Cam Allen,05m 17s,317,https://www.speedrun.com/smb1/runs/7z0r1x8z
2004-01-01,0y6dlqjm,sdkess,05m 14s,314,https://www.speedrun.com/smb1/runs/0y6dlqjm
2004-02-26,0zn1relm,sdkess,05m 11s,311,https://www.speedrun.com/smb1/runs/0zn1relm
2004-04-23,6yjg3wny,sdkess,05m 10s,310,https://www.speedrun.com/smb1/runs/6yjg3wny
2004-10-09,7ylq0d3z,Trevor Seguin,05m 07s,307,https://www.speedrun.com/smb1/runs/7ylq0d3z
2004-11-07,9me7xw8y,Trevor Seguin,05m 06s,306,https://www.speedrun.com/smb1/runs/9me7xw8y
2005-05-12,mk32gqxz,AndrewG,05m 05s 846ms,305.846,https://www.speedrun.com/smb1/runs/mk32gqxz
2006-09-14,9yo7j0jm,sdkess,05m 05s 397ms,305.397,https://www.speedrun.com/smb1/runs/9yo7j0jm
2007-04-10,wzp146rz,AndrewG,05m 00s 355ms,300.355,https://www.speedrun.com/smb1/runs/wzp146rz
2010-12-24,jy995jny,AndrewG,04m 59s 690ms,299.69,https://www.speedrun.com/smb1/runs/jy995jny
2011-12-15,nz1rj9rm,AndrewG,04m 58s 874ms,298.874,https://www.speedrun.com/smb1/runs/nz1rj9rm
2013-01-15,emkg2p5y,AndrewG,04m 58s 791ms,298.791,https://www.speedrun.com/smb1/runs/emkg2p5y
2013-01-19,8m7dqnwm,AndrewG,04m 58s 575ms,298.575,https://www.speedrun.com/smb1/runs/8m7dqnwm
2013-03-21,9mr1ev7z,AndrewG,04m 58s 525ms,298.525,https://www.speedrun.com/smb1/runs/9mr1ev7z
2013-05-19,1zxgkq8y,AndrewG,04m 58s 359ms,298.359,https://www.speedrun.com/smb1/runs/1zxgkq8y
2013-07-01,pm3r10qm,AndrewG,04m 58s 159ms,298.159,https://www.speedrun.com/smb1/runs/pm3r10qm
2013-10-07,dy4r16kz,AndrewG,04m 58s 142ms,298.142,https://www.speedrun.com/smb1/runs/dy4r16kz
2014-03-25,8yv634zo,AndrewG,04m 58s 092ms,298.092,https://www.speedrun.com/smb1/runs/8yv634zo
2014-06-25,8yv688zo,Saradoc,04m 57s 693ms,297.693,https://www.speedrun.com/smb1/runs/8yv688zo
2015-10-18,oy2xjw7m,darbian,04m 57s 627ms,297.627,https://www.speedrun.com/smb1/runs/oy2xjw7m
2016-01-14,wzp28wny,darbian,04m 57s 427ms,297.427,https://www.speedrun.com/smb1/runs/wzp28wny
2016-04-14,dy4xvn2z,darbian,04m 57s 260ms,297.26,https://www.speedrun.com/smb1/runs/dy4xvn2z
2016-08-10,9yo0jp7y,darbian,04m 57s 244ms,297.244,https://www.speedrun.com/smb1/runs/9yo0jp7y
2016-10-03,8y8plpwz,Kosmic,04m 57s 194ms,297.194,https://www.speedrun.com/smb1/runs/8y8plpwz
2016-10-05,pzgo5nnm,darbian,04m 56s 878ms,296.878,https://www.speedrun.com/smb1/runs/pzgo5nnm
2017-10-20,yvgro0xy,darbian,04m 56s 528ms,296.528,https://www.speedrun.com/smb1/runs/yvgro0xy
2018-02-16,zq625vry,Kosmic,04m 56s 462ms,296.462,https://www.speedrun.com/smb1/runs/zq625vry
2018-05-25,me8v6j3m,somewes,04m 56s 245ms,296.245,https://www.speedrun.com/smb1/runs/me8v6j3m
2018-09-24,m3o7q9qm,Kosmic,04m 55s 913ms,295.913,https://www.speedrun.com/smb1/runs/m3o7q9qm
2018-10-22,yl47rgkm,somewes,04m 55s 796ms,295.796,https://www.speedrun.com/smb1/runs/yl47rgkm
2019-08-02,z1j8j57z,tavenwebb2002,04m 55s 746ms,295.746,https://www.speedrun.com/smb1/runs/z1j8j57z
2020-01-17,y81o4wxz,Kosmic,04m 55s 646ms,295.646,https://www.speedrun.com/smb1/runs/y81o4wxz
2020-11-13,y4eqlqnm,Niftski,04m 55s 430ms,295.43,https://www.speedrun.com/smb1/runs/y4eqlqnm
2021-01-02,y8r4841m,Miniland,04m 55s 314ms,295.314,https://www.speedrun.com/smb1/runs/y8r4841m
2021-02-04,yo99g20y,Miniland,04m 55s 230ms,295.23,https://www.speedrun.com/smb1/runs/yo99g20y
2021-04-07,zqgxj79m,Niftski,04m 54s 948ms,294.948,https://www.speedrun.com/smb1/runs/zqgxj79m
2021-11-05,y93wwkey,Miniland,04m 54s 914ms,294.914,https://www.speedrun.com/smb1/runs/y93wwkey
2021-12-02,z0owxg4z,Niftski,04m 54s 881ms,294.881,https://www.speedrun.com/smb1/runs/z0owxg4z
2022-08-07,z0l3vd9z,Niftski,04m 54s 798ms,294.798,https://www.speedrun.com/smb1/runs/z0l3vd9z
2023-09-06,y2k9vkwy,Niftski,04m 54s 631ms,294.631,https://www.speedrun.com/smb1/runs/y2k9vkwy
2025-01-09,y4j2p42y,Niftski,04m 54s 565ms,294.565,https://www.speedrun.com/smb1/runs/y4j2p42y
2025-08-28,z5w4ogez,averge11,04m 54s 515ms,294.515,https://www.speedrun.com/smb1/runs/z5w4ogez
2025-10-08,mr580xgy,Niftski,04m 54s 482ms,294.482,https://www.speedrun.com/smb1/runs/mr580xgy
2025-10-22,yw582k0y,Niftski,04m 54s 448ms,294.448,https://www.speedrun.com/smb1/runs/yw582k0y
